"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Spain","Czechia","Age reached during the year","Total","Number","Total","107",""
"2007","Spain","Denmark","Age reached during the year","Total","Number","Total","234",""
"2007","Spain","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","3,601",""
"2007","Spain","Estonia","Age reached during the year","Total","Number","Total","12",""
"2007","Spain","Ireland","Age reached during the year","Total","Number","Total","551",""
"2007","Spain","Greece","Age reached during the year","Total","Number","Total","103",""
"2007","Spain","Spain","Age reached during the year","Total","Number","Total","0",""
"2007","Spain","France","Age reached during the year","Total","Number","Total","3,986",""
"2007","Spain","Croatia","Age reached during the year","Total","Number","Total","44",""
"2007","Spain","Italy","Age reached during the year","Total","Number","Total","1,740",""
"2007","Spain","Cyprus","Age reached during the year","Total","Number","Total","20",""
"2007","Spain","Latvia","Age reached during the year","Total","Number","Total","65",""
"2007","Spain","Lithuania","Age reached during the year","Total","Number","Total","259",""
"2007","Spain","Luxembourg","Age reached during the year","Total","Number","Total","97",""
"2007","Spain","Hungary","Age reached during the year","Total","Number","Total","140",""
"2007","Spain","Malta","Age reached during the year","Total","Number","Total","16",""
"2007","Spain","Netherlands","Age reached during the year","Total","Number","Total","1,219",""
"2007","Spain","Austria","Age reached during the year","Total","Number","Total","283",""
"2007","Spain","Poland","Age reached during the year","Total","Number","Total","1,087",""
"2007","Spain","Portugal","Age reached during the year","Total","Number","Total","1,780",""
"2007","Spain","Romania","Age reached during the year","Total","Number","Total","4,078",""
"2007","Spain","Slovenia","Age reached during the year","Total","Number","Total","11",""
"2007","Spain","Slovakia","Age reached during the year","Total","Number","Total","102",""
"2007","Spain","Finland","Age reached during the year","Total","Number","Total","115",""
"2007","Spain","Sweden","Age reached during the year","Total","Number","Total","351",""
"2007","Spain","United Kingdom","Age reached during the year","Total","Number","Total","4,161",""
"2007","Spain","Norway","Age reached during the year","Total","Number","Total","223",""
